rotation
Frost Trap, Time: -0.37s
Enduring Swing, Time: 80.824s, Dur: 772ms
Maul, Time: 81.644s, Dur: 824ms
Slash, Time: 82.468s, Dur: 400ms
Hilt Bash, Time: 82.916s, Dur: 640ms
Maul, Time: 83.556s, Dur: 848ms
Slash, Time: 84.404s, Dur: 384ms
Slice, Time: 84.788s, Dur: 624ms
Enduring Swing, Time: 85.412s, Dur: 784ms
Slash, Time: 86.196s, Dur: 416ms
Slice, Time: 86.612s, Dur: 576ms
Enduring Swing, Time: 87.188s, Dur: 800ms
Maul, Time: 87.988s, Dur: 697ms
Weapon Swap, Time: 88.683s, Dur: 0ms
Winter's Bite, Time: 88.804s, Dur: 503ms
Splitblade, Time: 89.307s, Dur: 607ms
Path of Scars, Time: 89.914s, Dur: 432ms
Ricochet, Time: 90.346s, Dur: 624ms
Frenzied Attack, Time: 90.97s, Dur: 752ms
Ricochet, Time: 91.722s, Dur: 595ms
Ricochet, Time: 92.317s, Dur: 608ms
Ricochet, Time: 92.925s, Dur: 592ms
Ricochet, Time: 93.517s, Dur: 608ms
Splitblade, Time: 94.125s, Dur: 592ms
Ricochet, Time: 94.717s, Dur: 608ms
AFK 100ms, Time: 0s
Sic 'Em!, Time: 95.517s, Dur: 0ms
Whirling Defense, Time: 95.325s, Dur: 2646ms
AFK 50ms, Time: 0s
Frost Trap, Time: 97.971s, Dur: 578ms
One Wolf Pack, Time: 98.549s, Dur: 399ms
Splitblade, Time: 98.948s, Dur: 672ms
Winter's Bite, Time: 99.62s, Dur: 496ms
Path of Scars, Time: 100.276s, Dur: 353ms
Weapon Swap, Time: 100.628s, Dur: 0ms
Slash, Time: 100.726s, Dur: 80ms
Maul, Time: 100.806s, Dur: 800ms
Worldly Impact, Time: 101.606s, Dur: 675ms
Slash, Time: 102.281s, Dur: 32ms
Hilt Bash, Time: 102.313s, Dur: 640ms
Maul, Time: 102.953s, Dur: 800ms
