rotation
Spear of Justice, Time: 67.342s, Dur: 550ms
Ray of Judgment, Time: 67.892s, Dur: 483ms
Symbol of Blades, Time: 68.375s, Dur: 567ms
Shield of Wrath, Time: 68.426s, Dur: 0ms
Sword of Wrath, Time: 68.942s, Dur: 365ms
Sword Arc, Time: 69.307s, Dur: 517ms
Sword Wave, Time: 69.824s, Dur: 632ms
Zealot's Defense, Time: 70.456s, Dur: 1168ms
Weapon Swap, Time: 71.623s, Dur: 0ms
Symbol of Resolution, Time: 71.773s, Dur: 250ms
Whirling Wrath, Time: 72.023s, Dur: 1480ms
Strike, Time: 73.503s, Dur: 400ms
Binding Blade, Time: 73.937s, Dur: 600ms
Strike, Time: 74.537s, Dur: 402ms
Vengeful Strike, Time: 74.939s, Dur: 595ms
Wrathful Strike, Time: 75.534s, Dur: 685ms
Strike, Time: 76.219s, Dur: 399ms
Vengeful Strike, Time: 76.618s, Dur: 601ms
Wrathful Strike, Time: 77.219s, Dur: 680ms
Strike, Time: 77.899s, Dur: 401ms
Vengeful Strike, Time: 78.3s, Dur: 599ms
Wrathful Strike, Time: 78.899s, Dur: 682ms
Strike, Time: 79.581s, Dur: 401ms
Symbol of Resolution, Time: 80.014s, Dur: 252ms
Whirling Wrath, Time: 80.266s, Dur: 1433ms
Weapon Swap, Time: 81.698s, Dur: 0ms
Zealot's Defense, Time: 81.814s, Dur: 1198ms
Symbol of Blades, Time: 83.012s, Dur: 567ms
Sword of Wrath, Time: 83.579s, Dur: 367ms
Sword Arc, Time: 83.946s, Dur: 514ms
Sword Wave, Time: 84.46s, Dur: 633ms
Procession of Blades, Time: 85.093s, Dur: 450ms
Spear of Justice, Time: 85.543s, Dur: 550ms
Ray of Judgment, Time: 86.093s, Dur: 532ms
Sword of Justice, Time: 86.625s, Dur: 600ms
Sword of Wrath, Time: 87.225s, Dur: 350ms
Sword Arc, Time: 87.575s, Dur: 533ms
Sword Wave, Time: 88.108s, Dur: 667ms
Sword of Wrath, Time: 88.775s, Dur: 366ms
Sword Arc, Time: 89.141s, Dur: 516ms
Sword Wave, Time: 89.657s, Dur: 598ms
Symbol of Blades, Time: 90.255s, Dur: 567ms
Sword of Wrath, Time: 90.822s, Dur: 350ms
Sword Arc, Time: 91.172s, Dur: 534ms
